"city","state","abbr"
"Mankato","Minnesota","MN"
"Orleans","New York","NY"
"Appleton","Wisconsin","WI"
"Nicollet","Minnesota","MN"
"Sp: Essex County","New York","NY"
"Augusta","Maine","ME"
"Brookings","South Dakota","SD"
"Belfast","Maine","ME"
"St. Lawrence","New York","NY"
"Kewaunee","Wisconsin","WI"
"Burlington","Vermont","VT"
"Oneida","Wisconsin","WI"
"Essex","Vermont","VT"
"Colchester","Vermont","VT"
"Corvallis","Oregon","OR"
"Suny College: Potsdam","New York","NY"
"Suny College:Plattsburgh","New York","NY"
"Plattsburgh City","New York","NY"
"Hampden","Maine","ME"
"Shakopee","Minnesota","MN"
"Bangor","Maine","ME"
"Eagan","Minnesota","MN"
"Inver Grove Heights","Minnesota","MN"
"Clark","Wisconsin","WI"
"River Falls","Wisconsin","WI"
"Minnetonka","Minnesota","MN"
"Maplewood","Minnesota","MN"
"St. Paul","Minnesota","MN"
"Lincoln City","Oregon","OR"
"St. Louis Park","Minnesota","MN"
"Maple Grove","Minnesota","MN"
"Brooklyn Park","Minnesota","MN"
"Menominee","Michigan","MI"
"Blaine","Minnesota","MN"
"Tigard","Oregon","OR"
"Washington",NA,"#N/A"
"St. Cloud","Minnesota","MN"
"Sartell","Minnesota","MN"
"Montana State University","Montana","MT"
"Battle Ground","Washington","WA"
"Ravali","Montana","MT"
"Walla Walla","Washington","WA"
"Mille Lacs","Minnesota","MN"
"Lisbon","North Dakota","ND"
"Wapato","Washington","WA"
"Chocolay Township","Michigan","MI"
"Helena","Montana","MT"
"Yakima","Washington","WA"
"Pierce","Washington","WA"
"Pullman","Washington","WA"
"Wa State Univ: Pullman","Washington","WA"
"Whitman","Washington","WA"
"Thurston","Washington","WA"
"Missoula","Montana","MT"
"Dickinson","North Dakota","ND"
"Lacey","Washington","WA"
"Olympia","Washington","WA"
"Cass","North Dakota","ND"
"Evergreen State College","Washington","WA"
"Hancock","Michigan","MI"
"Moses Lake","Washington","WA"
"Steilacoom","Washington","WA"
"University Place","Washington","WA"
"Auburn","Washington","WA"
"Federal Way","Washington","WA"
"Tukwila","Washington","WA"
"Bemidji","Minnesota","MN"
"Eastern Washington Univ","Washington","WA"
"Issaquah","Washington","WA"
"Newcastle","Washington","WA"
"King","Washington","WA"
"Mercer Island","Washington","WA"
"Port Of Seattle","Washington","WA"
"Bainbridge Island","Washington","WA"
"University Of Washington","Washington","WA"
"Spokane Valley","Washington","WA"
"Redmond","Washington","WA"
"Kirkland","Washington","WA"
"Bothell","Washington","WA"
"Mountlake Terrace","Washington","WA"
"Watford City","North Dakota","ND"
"Lynnwood","Washington","WA"
"Chelan","Washington","WA"
"Sequim","Washington","WA"
"Kalispell","Montana","MT"
"Minot","North Dakota","ND"
"Oak Harbor","Washington","WA"
"Mount Vernon","Washington","WA"
"Bellingham","Washington","WA"
"Whatcom","Washington","WA"
"Lynden","Washington","WA"
"Northern Buttes","California","CA"
"Huron County","Michigan","MI"
"Greater Hardin County","Kentucky","KY"
"Alameda County","California","CA"
